## DQN_train_2048_v2.py 运行时间

Begin time: 2026/2/28 01:23

End time: 2026/2/28 19:37

/Users/hfyan/MyPythonApp/.venv/bin/python /Users/hfyan/git/2025spring-cs201/code/2048/DQN_train_2048_v2.py 
正在使用设备: mps
Ep: 23900, Max: 256, Reward: 902.0, Eps: 0.010
Ep: 24000, Max: 256, Reward: 862.0, Eps: 0.010
Ep: 24100, Max: 256, Reward: 874.0, Eps: 0.010
Ep: 24200, Max: 256, Reward: 833.0, Eps: 0.010
Ep: 24300, Max: 256, Reward: -2024.0, Eps: 0.010
Ep: 24400, Max: 256, Reward: 630.0, Eps: 0.010
Ep: 24500, Max: 512, Reward: 1662.0, Eps: 0.010
Ep: 24600, Max: 256, Reward: 1008.0, Eps: 0.010
Ep: 24700, Max: 512, Reward: 1037.0, Eps: 0.010
Ep: 24800, Max: 256, Reward: 212.0, Eps: 0.010
Ep: 24900, Max: 128, Reward: -919.0, Eps: 0.010
Ep: 25000, Max: 128, Reward: 397.0, Eps: 0.010
Ep: 25100, Max: 256, Reward: 714.0, Eps: 0.010
Ep: 25200, Max: 128, Reward: -2281.0, Eps: 0.010
Ep: 25300, Max: 128, Reward: 403.0, Eps: 0.010
Ep: 25400, Max: 256, Reward: 741.0, Eps: 0.010
Ep: 25500, Max: 256, Reward: 809.0, Eps: 0.010
Ep: 25600, Max: 128, Reward: 505.0, Eps: 0.010
Ep: 25700, Max: 256, Reward: 1003.0, Eps: 0.010
Ep: 25800, Max: 256, Reward: 605.0, Eps: 0.010
Ep: 25900, Max: 512, Reward: 1193.0, Eps: 0.010
Ep: 26000, Max: 256, Reward: -781.0, Eps: 0.010
Ep: 26100, Max: 256, Reward: 344.0, Eps: 0.010
Ep: 26200, Max: 256, Reward: 897.0, Eps: 0.010
Ep: 26300, Max: 256, Reward: 856.0, Eps: 0.010
Ep: 26400, Max: 256, Reward: 965.0, Eps: 0.010
Ep: 26500, Max: 256, Reward: 889.0, Eps: 0.010
Ep: 26600, Max: 256, Reward: -452.0, Eps: 0.010
Ep: 26700, Max: 256, Reward: 767.0, Eps: 0.010
Ep: 26800, Max: 256, Reward: 968.0, Eps: 0.010
Ep: 26900, Max: 256, Reward: -180.0, Eps: 0.010
Ep: 27000, Max: 256, Reward: 804.0, Eps: 0.010
Ep: 27100, Max: 512, Reward: 706.0, Eps: 0.010
Ep: 27200, Max: 256, Reward: 971.0, Eps: 0.010
Ep: 27300, Max: 256, Reward: 214.0, Eps: 0.010
Ep: 27400, Max: 128, Reward: 96.0, Eps: 0.010
Ep: 27500, Max: 128, Reward: -386.0, Eps: 0.010
Ep: 27600, Max: 128, Reward: 513.0, Eps: 0.010
Ep: 27700, Max: 256, Reward: 940.0, Eps: 0.010
Ep: 27800, Max: 256, Reward: 290.0, Eps: 0.010
Ep: 27900, Max: 128, Reward: 505.0, Eps: 0.010
Ep: 28000, Max: 512, Reward: 899.0, Eps: 0.010
Ep: 28100, Max: 256, Reward: 874.0, Eps: 0.010
Ep: 28200, Max: 256, Reward: 125.0, Eps: 0.010
Ep: 28300, Max: 64, Reward: 232.0, Eps: 0.010
Ep: 28400, Max: 128, Reward: 584.0, Eps: 0.010
Ep: 28500, Max: 128, Reward: 510.0, Eps: 0.010
Ep: 28600, Max: 64, Reward: 163.0, Eps: 0.010
Ep: 28700, Max: 256, Reward: 933.0, Eps: 0.010
Ep: 28800, Max: 512, Reward: -208.0, Eps: 0.010
Ep: 28900, Max: 256, Reward: -61.0, Eps: 0.010
Ep: 29000, Max: 256, Reward: 669.0, Eps: 0.010
Ep: 29100, Max: 256, Reward: 796.0, Eps: 0.010
Ep: 29200, Max: 128, Reward: 440.0, Eps: 0.010
Ep: 29300, Max: 512, Reward: 390.0, Eps: 0.010
Ep: 29400, Max: 256, Reward: 757.0, Eps: 0.010
Ep: 29500, Max: 256, Reward: 956.0, Eps: 0.010
Ep: 29600, Max: 128, Reward: 453.0, Eps: 0.010
Ep: 29700, Max: 256, Reward: -3316.0, Eps: 0.010
Ep: 29800, Max: 256, Reward: -735.0, Eps: 0.010
Ep: 29900, Max: 256, Reward: 458.0, Eps: 0.010
Ep: 30000, Max: 128, Reward: 548.0, Eps: 0.010
Ep: 30100, Max: 256, Reward: 576.0, Eps: 0.010
Ep: 30200, Max: 128, Reward: 470.0, Eps: 0.010
Ep: 30300, Max: 256, Reward: -507.0, Eps: 0.010
Ep: 30400, Max: 256, Reward: 230.0, Eps: 0.010
Ep: 30500, Max: 256, Reward: 936.0, Eps: 0.010
Ep: 30600, Max: 512, Reward: 250.0, Eps: 0.010
Ep: 30700, Max: 512, Reward: 1469.0, Eps: 0.010
Ep: 30800, Max: 256, Reward: 773.0, Eps: 0.010
Ep: 30900, Max: 64, Reward: 235.0, Eps: 0.010
Ep: 31000, Max: 256, Reward: 662.0, Eps: 0.010
Ep: 31100, Max: 256, Reward: 937.0, Eps: 0.010
Ep: 31200, Max: 256, Reward: 546.0, Eps: 0.010
Ep: 31300, Max: 128, Reward: -24.0, Eps: 0.010
Ep: 31400, Max: 128, Reward: 359.0, Eps: 0.010
Ep: 31500, Max: 128, Reward: 401.0, Eps: 0.010
Ep: 31600, Max: 256, Reward: 928.0, Eps: 0.010
Ep: 31700, Max: 256, Reward: 779.0, Eps: 0.010
Ep: 31800, Max: 128, Reward: 446.0, Eps: 0.010
Ep: 31900, Max: 128, Reward: 527.0, Eps: 0.010
Ep: 32000, Max: 256, Reward: 408.0, Eps: 0.010
Ep: 32100, Max: 128, Reward: 533.0, Eps: 0.010
Ep: 32200, Max: 256, Reward: -76.0, Eps: 0.010
Ep: 32300, Max: 256, Reward: 851.0, Eps: 0.010
Ep: 32400, Max: 256, Reward: -126.0, Eps: 0.010
Ep: 32500, Max: 512, Reward: -1000.0, Eps: 0.010
Ep: 32600, Max: 256, Reward: 854.0, Eps: 0.010
Ep: 32700, Max: 256, Reward: 786.0, Eps: 0.010
Ep: 32800, Max: 256, Reward: 554.0, Eps: 0.010
Ep: 32900, Max: 256, Reward: 573.0, Eps: 0.010
Ep: 33000, Max: 256, Reward: 193.0, Eps: 0.010
Ep: 33100, Max: 256, Reward: -7139.0, Eps: 0.010
Ep: 33200, Max: 512, Reward: -268.0, Eps: 0.010
Ep: 33300, Max: 512, Reward: 1151.0, Eps: 0.010
Ep: 33400, Max: 256, Reward: 879.0, Eps: 0.010
Ep: 33500, Max: 256, Reward: -2402.0, Eps: 0.010
Ep: 33600, Max: 256, Reward: 854.0, Eps: 0.010
Ep: 33700, Max: 256, Reward: 578.0, Eps: 0.010
